round,group_id,sender,receiver,application-id,amount_send,asset_id_send,amount_received,asset_id_received
27138847,w65jy3CTovy19U77Xx0GmuOIUuT6M56X2NJyGK9n+/Q=,EVESCVBC6VDIJAZM3HMUGYVQLKWHH4YJBMDV5EF65RMS67TFS5URZQ5YNY,HRIFC4KYLISTIHARRWSVIYPVLE6KSQZS5HBMODCOA2FMPZKA6EITKLHHRQ,662105634,166110917,452399768,3622305,31566704
27138847,2s8BiBOWmxc69KYSd34npCAryClF1VlU5stnmTI36E4=,HS2YUNZNWS4S6YJUEZTHYLBTVOZ6YBBPXMIEF3PQOCSH5DPMUD24O677BQ,IWT4WOUKYQBCAO76UKWZ5E4CPIJVLBE5R3NX5QH3BXMTG34WU7ZCLJ4RVY,645869114,38080085,0,646772,386195940
27138847,8K96amDXqEn9mOH+OPUFaFjOvunSz6Q6wcWTgYWuqz0=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,500000000,0,142022427,31566704
27138847,vYNR4w4lfUwatGuWJHkHFwLziyUvndKRkmAFUVMRuJU=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,500000000,0,142124563,31566704
27138847,ixvE46/3krwTaWMj12ZIgkNa6E9GnlX3wDwLLHnnCE4=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,500000000,0,142018698,31566704
27138848,LmHhPAL0+HyoIbgKWc3qPZHZzWj9K87YyYR7GGIsDCU=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,UXCJORFWJBXMK46HDXRKRIA5546AWFIW4KSQ6TLCUGIK2M5RQWGS2TMDUQ,777639704,100000000,0,28434749,312769
27138848,7ElPQGUS50CuCIFMYcbqFwZbSrWPBIhbiuRWMnIeCtI=,EVESCVBC6VDIJAZM3HMUGYVQLKWHH4YJBMDV5EF65RMS67TFS5URZQ5YNY,UXCJORFWJBXMK46HDXRKRIA5546AWFIW4KSQ6TLCUGIK2M5RQWGS2TMDUQ,777639704,3420317,312769,11965766,0
27138848,xGecH0RqAsGpKibfpS4JMEso9aI3f53flHtEjmdhF7s=,EVESCVBC6VDIJAZM3HMUGYVQLKWHH4YJBMDV5EF65RMS67TFS5URZQ5YNY,UXCJORFWJBXMK46HDXRKRIA5546AWFIW4KSQ6TLCUGIK2M5RQWGS2TMDUQ,777639704,671628,312769,2349355,0
27138848,GPp/E0zDNcdUCrsKn0Mya3iyPlTdugPyL3M6QZyasqA=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,500000000,0,141924997,31566704
27138848,MREaZO0IAj7cMTBRLZS21QY0NRBR+5FLcyqJ+JKKReo=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,500000000,0,141969590,31566704
